carbohydrate,protein,fat,salt
29,16,19,834
34,16,14,984
38,14,15,50
26,14,23,228
42,10,23,161
66,21,38,1012
53,24,15,256
72,10,17,325
30,6,23,218
38,8,7,333
42.5,15.3,22.1,916
23.7,11.6,7.8,1014
45,11,34.4,421
23.6,8,10.3,182
26,7,11,961
63,9,16,958
29,22,10,34
36,12,17,531
36,14,15,122
15,22,14,826
51,18,20,1068
41,19,8,534
53,15,13,12
56,26,28,431
58,12,14,910
58,11,11,396
42,10,31,1009
57,14,18,734
64,13,5,753
75,16,28,1092
68,12,21,686
30,20,7,1083
14,15,33,186
13,15,33,536
42,19,30,546
22,7,11,255
35,6,40,440
35,6,40,120
25,12,12,281
20,6,5,840
17,11,28,781
63,9,16,107
27,7,29,527
38,10,23,740
33,16,26,618
39,14,14,25
50,19,18,773
32,14,36,746
32,14,36,590
37,24,17,683
36,16,14,525
46,16,21,30
34,18,9,352
23,19,18,1014
52,11,10,276
43,14,18,19
55,15,4,1062
71,13,17,710
32,3,2.3,511
71,44,49,218
72,31,46,275
13,14,23,575
14,9,8,908
15.55,7.56,10.39,1030
22,27,18,1042
32,7,7,325
30,10,7,623
35,4,2.7,1025
34,14,17,536
49,7,4,675
54,7,4.2,692
41,14,16,764
45,13,14,705
50,12,8,910
46,8,9,816
50,9,8,245
73,17,28,120
68,18,20,505
61,7,12,183
24,10,12.95,47
75.9,31,64,1060
42.9,12.4,8.3,610
